Program Duration,0.37519129333333334,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,78.0,78.0,1.0,1.0
AsQs,78.0,78.0,1.0,1.0
AsJs,78.0,78.0,1.0,1.0
AsTs,78.0,78.0,1.0,1.0
As9s,78.0,78.0,1.0,1.0
As8s,78.0,78.0,1.0,1.0
As7s,78.0,78.0,1.0,1.0
As6s,78.0,78.0,1.0,1.0
As5s,78.0,78.0,1.0,1.0
As4s,78.0,78.0,1.0,1.0
As3s,78.0,78.0,1.0,1.0
As2s,78.0,78.0,1.0,1.0
AsAc,78.0,78.0,1.0,1.0
AsKc,78.0,78.0,1.0,1.0
AsQc,78.0,78.0,1.0,1.0
AsJc,78.0,78.0,1.0,1.0
AsTc,78.0,78.0,1.0,1.0
As9c,78.0,78.0,1.0,1.0
As8c,78.0,78.0,1.0,1.0
As7c,78.0,78.0,1.0,1.0
As6c,78.0,78.0,1.0,1.0
As5c,78.0,78.0,1.0,1.0
As4c,78.0,78.0,1.0,1.0
As3c,78.0,78.0,1.0,1.0
As2c,78.0,78.0,1.0,1.0
AsAd,78.0,78.0,1.0,1.0
AsKd,78.0,78.0,1.0,1.0
AsQd,78.0,78.0,1.0,1.0
AsJd,78.0,78.0,1.0,1.0
AsTd,78.0,78.0,1.0,1.0
As9d,78.0,78.0,1.0,1.0
As8d,78.0,78.0,1.0,1.0
As7d,78.0,78.0,1.0,1.0
As6d,78.0,78.0,1.0,1.0
As5d,78.0,78.0,1.0,1.0
As4d,78.0,78.0,1.0,1.0
As3d,78.0,78.0,1.0,1.0
As2d,78.0,78.0,1.0,1.0
AsAh,78.0,78.0,1.0,1.0
AsKh,78.0,78.0,1.0,1.0
AsQh,78.0,78.0,1.0,1.0
AsJh,78.0,78.0,1.0,1.0
AsTh,78.0,78.0,1.0,1.0
As9h,78.0,78.0,1.0,1.0
As8h,78.0,78.0,1.0,1.0
As7h,78.0,78.0,1.0,1.0
As6h,78.0,78.0,1.0,1.0
