Program Duration,5635.511864501666,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,38349.0,38349.0,1.0,1.0
AsQs,38349.0,38349.0,1.0,1.0
AsJs,38349.0,38349.0,1.0,1.0
AsTs,38349.0,38349.0,1.0,1.0
As9s,38349.0,38349.0,1.0,1.0
As8s,38349.0,38349.0,1.0,1.0
As7s,38349.0,38349.0,1.0,1.0
As6s,38349.0,38349.0,1.0,1.0
As5s,38349.0,38349.0,1.0,1.0
As4s,38349.0,38349.0,1.0,1.0
As3s,38349.0,38349.0,1.0,1.0
As2s,38349.0,38349.0,1.0,1.0
AsAc,38349.0,38349.0,1.0,1.0
AsKc,38349.0,38349.0,1.0,1.0
AsQc,38349.0,38349.0,1.0,1.0
AsJc,38349.0,38349.0,1.0,1.0
AsTc,38349.0,38349.0,1.0,1.0
As9c,38349.0,38349.0,1.0,1.0
As8c,38349.0,38349.0,1.0,1.0
As7c,38349.0,38349.0,1.0,1.0
As6c,38349.0,38349.0,1.0,1.0
As5c,38349.0,38349.0,1.0,1.0
As4c,38349.0,38349.0,1.0,1.0
As3c,38349.0,38349.0,1.0,1.0
As2c,38349.0,38349.0,1.0,1.0
AsAd,38349.0,38349.0,1.0,1.0
AsKd,38349.0,38349.0,1.0,1.0
AsQd,38349.0,38349.0,1.0,1.0
AsJd,38349.0,38349.0,1.0,1.0
AsTd,38349.0,38349.0,1.0,1.0
As9d,38349.0,38349.0,1.0,1.0
As8d,38349.0,38349.0,1.0,1.0
As7d,38349.0,38349.0,1.0,1.0
As6d,38349.0,38349.0,1.0,1.0
As5d,38349.0,38349.0,1.0,1.0
As4d,38349.0,38349.0,1.0,1.0
As3d,38349.0,38349.0,1.0,1.0
As2d,38349.0,38349.0,1.0,1.0
AsAh,38349.0,38349.0,1.0,1.0
AsKh,38349.0,38349.0,1.0,1.0
AsQh,38349.0,38349.0,1.0,1.0
AsJh,38349.0,38349.0,1.0,1.0
AsTh,38349.0,38349.0,1.0,1.0
As9h,38349.0,38349.0,1.0,1.0
As8h,38349.0,38349.0,1.0,1.0
As7h,38349.0,38349.0,1.0,1.0
As6h,38349.0,38349.0,1.0,1.0
As5h,38349.0,38349.0,1.0,1.0
As4h,38349.0,38349.0,1.0,1.0
As3h,38349.0,38349.0,1.0,1.0
As2h,38349.0,38349.0,1.0,1.0
KsQs,38349.0,38349.0,1.0,1.0
KsJs,38349.0,38349.0,1.0,1.0
KsTs,38349.0,38349.0,1.0,1.0
Ks9s,38349.0,38349.0,1.0,1.0
Ks8s,38349.0,38349.0,1.0,1.0
Ks7s,38349.0,38349.0,1.0,1.0
Ks6s,38349.0,38349.0,1.0,1.0
Ks5s,38349.0,38349.0,1.0,1.0
Ks4s,38349.0,38349.0,1.0,1.0
Ks3s,38349.0,38349.0,1.0,1.0
Ks2s,38349.0,38349.0,1.0,1.0
KsAc,38349.0,38349.0,1.0,1.0
KsKc,38349.0,38349.0,1.0,1.0
KsQc,38349.0,38349.0,1.0,1.0
KsJc,38349.0,38349.0,1.0,1.0
KsTc,38349.0,38349.0,1.0,1.0
Ks9c,38349.0,38349.0,1.0,1.0
Ks8c,38349.0,38349.0,1.0,1.0
Ks7c,38349.0,38349.0,1.0,1.0
Ks6c,38349.0,38349.0,1.0,1.0
Ks5c,38349.0,38349.0,1.0,1.0
Ks4c,38349.0,38345.0,1.0,0.9998956948029936
Ks3c,38349.0,2.0,1.0,5.2152598503220425E-5
Ks2c,38349.0,1.0,1.0,2.6076299251610212E-5
KsAd,38349.0,38349.0,1.0,1.0
KsKd,38349.0,38349.0,1.0,1.0
KsQd,38349.0,38349.0,1.0,1.0
KsJd,38349.0,38349.0,1.0,1.0
KsTd,38349.0,38349.0,1.0,1.0
