Program Duration,13.346497748333332,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsQs,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsJs,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsTs,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As9s,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As8s,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As7s,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As6s,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As5s,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As4s,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As3s,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As2s,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsAc,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsKc,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsQc,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsJc,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsTc,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As9c,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As8c,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As7c,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As6c,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As5c,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As4c,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As3c,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As2c,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsAd,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsKd,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsQd,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsJd,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsTd,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As9d,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As8d,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As7d,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As6d,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As5d,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As4d,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As3d,3061.0,3061.0,0.9996734160679295,0.9996734160679295
As2d,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsAh,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsKh,3061.0,3061.0,0.9996734160679295,0.9996734160679295
AsQh,3061.0,3061.0,0.9996734160679295,0.9996734160679295
