Program Duration,4609.730395524984,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,134674.0,134674.0,1.0,1.0
AsQs,134674.0,134674.0,1.0,1.0
AsJs,134674.0,134674.0,1.0,1.0
AsTs,134674.0,134674.0,1.0,1.0
As9s,134674.0,78.0,1.0,5.791763814841766E-4
As8s,134674.0,41.0,1.0,3.044388671904005E-4
As7s,134674.0,27.0,1.0,2.00484132052215E-4
As6s,133728.0,18.0,0.9929756300399483,1.3365608803480997E-4
As5s,134674.0,18.0,1.0,1.3365608803480997E-4
As4s,134538.0,14.0,0.9989901540015148,1.0395473513818554E-4
As3s,133556.0,12.0,0.9916984718653935,8.910405868987332E-5
As2s,23.0,10.0,1.7078277915559054E-4,7.42533822415611E-5
AsAc,134674.0,134674.0,1.0,1.0
AsKc,134674.0,134674.0,1.0,1.0
AsQc,134674.0,134674.0,1.0,1.0
AsJc,134674.0,134674.0,1.0,1.0
AsTc,134674.0,77439.0,1.0,0.5750107667404251
As9c,340.0,38.0,0.0025246149962130774,2.821628525179322E-4
As8c,60.0,23.0,4.455202934493666E-4,1.7078277915559054E-4
As7c,29.0,15.0,2.153348085005272E-4,1.1138007336234165E-4
As6c,17.0,10.0,1.2623074981065388E-4,7.42533822415611E-5
As5c,17.0,10.0,1.2623074981065388E-4,7.42533822415611E-5
As4c,12.0,8.0,8.910405868987332E-5,5.940270579324888E-5
As3c,10.0,6.0,7.42533822415611E-5,4.455202934493666E-5
As2c,8.0,5.0,5.940270579324888E-5,3.712669112078055E-5
AsAd,134674.0,134674.0,1.0,1.0
AsKd,134674.0,134674.0,1.0,1.0
AsQd,134674.0,134674.0,1.0,1.0
AsJd,134674.0,134674.0,1.0,1.0
AsTd,134674.0,77439.0,1.0,0.5750107667404251
As9d,340.0,38.0,0.0025246149962130774,2.821628525179322E-4
As8d,60.0,23.0,4.455202934493666E-4,1.7078277915559054E-4
As7d,29.0,15.0,2.153348085005272E-4,1.1138007336234165E-4
As6d,17.0,10.0,1.2623074981065388E-4,7.42533822415611E-5
As5d,17.0,10.0,1.2623074981065388E-4,7.42533822415611E-5
As4d,12.0,8.0,8.910405868987332E-5,5.940270579324888E-5
As3d,10.0,6.0,7.42533822415611E-5,4.455202934493666E-5
As2d,8.0,5.0,5.940270579324888E-5,3.712669112078055E-5
AsAh,134674.0,134674.0,1.0,1.0
AsKh,134674.0,134674.0,1.0,1.0
AsQh,134674.0,134674.0,1.0,1.0
AsJh,134674.0,134674.0,1.0,1.0
AsTh,134674.0,77439.0,1.0,0.5750107667404251
As9h,340.0,38.0,0.0025246149962130774,2.821628525179322E-4
As8h,60.0,23.0,4.455202934493666E-4,1.7078277915559054E-4
As7h,29.0,15.0,2.153348085005272E-4,1.1138007336234165E-4
As6h,17.0,10.0,1.2623074981065388E-4,7.42533822415611E-5
As5h,17.0,10.0,1.2623074981065388E-4,7.42533822415611E-5
As4h,12.0,8.0,8.910405868987332E-5,5.940270579324888E-5
As3h,10.0,6.0,7.42533822415611E-5,4.455202934493666E-5
As2h,8.0,5.0,5.940270579324888E-5,3.712669112078055E-5
KsQs,134674.0,134297.0,1.0,0.9972006474894931
KsJs,134674.0,23.0,1.0,1.7078277915559054E-4
KsTs,134674.0,16.0,1.0,1.1880541158649777E-4
Ks9s,134601.0,9.0,0.9994579503096366,6.682804401740499E-5
Ks8s,134438.0,6.0,0.9982476201790992,4.455202934493666E-5
Ks7s,7.0,5.0,5.197736756909277E-5,3.712669112078055E-5
Ks6s,6.0,4.0,4.455202934493666E-5,2.970135289662444E-5
Ks5s,5.0,4.0,3.712669112078055E-5,2.970135289662444E-5
Ks4s,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
Ks3s,3.0,3.0,2.227601467246833E-5,2.227601467246833E-5
Ks2s,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
KsAc,134674.0,134674.0,1.0,1.0
KsKc,134674.0,134674.0,1.0,1.0
KsQc,134674.0,20.0,1.0,1.485067644831222E-4
KsJc,134674.0,13.0,1.0,9.652939691402943E-5
KsTc,56121.0,9.0,0.4167174064778651,6.682804401740499E-5
Ks9c,7.0,6.0,5.197736756909277E-5,4.455202934493666E-5
Ks8c,5.0,4.0,3.712669112078055E-5,2.970135289662444E-5
