,P1 Freq,P2 Freq,P1 Strat,P2 Strat
AsKs,525,525,1.000000,1.000000
AsQs,525,525,1.000000,1.000000
AsJs,525,525,1.000000,1.000000
AsTs,525,525,1.000000,1.000000
As9s,525,525,1.000000,1.000000
As8s,525,525,1.000000,1.000000
As7s,525,525,1.000000,1.000000
As6s,525,525,1.000000,1.000000
As5s,525,525,1.000000,1.000000
As4s,525,525,1.000000,1.000000
As3s,525,525,1.000000,1.000000
As2s,525,525,1.000000,1.000000
AsAc,525,525,1.000000,1.000000
AsKc,525,525,1.000000,1.000000
AsQc,525,525,1.000000,1.000000
AsJc,525,525,1.000000,1.000000
AsTc,525,525,1.000000,1.000000
As9c,525,525,1.000000,1.000000
As8c,525,525,1.000000,1.000000
As7c,525,525,1.000000,1.000000
As6c,525,525,1.000000,1.000000
As5c,525,525,1.000000,1.000000
As4c,525,525,1.000000,1.000000
As3c,525,525,1.000000,1.000000
As2c,525,525,1.000000,1.000000
AsAd,525,525,1.000000,1.000000
AsKd,525,525,1.000000,1.000000
AsQd,525,525,1.000000,1.000000
AsJd,525,525,1.000000,1.000000
AsTd,525,525,1.000000,1.000000
As9d,525,525,1.000000,1.000000
As8d,525,525,1.000000,1.000000
As7d,525,525,1.000000,1.000000
As6d,525,525,1.000000,1.000000
As5d,525,525,1.000000,1.000000
As4d,525,525,1.000000,1.000000
As3d,525,525,1.000000,1.000000
As2d,525,525,1.000000,1.000000
AsAh,525,525,1.000000,1.000000
AsKh,525,525,1.000000,1.000000
AsQh,525,525,1.000000,1.000000
AsJh,525,525,1.000000,1.000000
AsTh,525,525,1.000000,1.000000
As9h,525,525,1.000000,1.000000
As8h,525,525,1.000000,1.000000
As7h,525,525,1.000000,1.000000
As6h,525,525,1.000000,1.000000
As5h,525,525,1.000000,1.000000
As4h,525,525,1.000000,1.000000
As3h,525,525,1.000000,1.000000
As2h,525,525,1.000000,1.000000
KsQs,525,525,1.000000,1.000000
KsJs,525,525,1.000000,1.000000
KsTs,525,525,1.000000,1.000000
Ks9s,525,525,1.000000,1.000000
Ks8s,525,525,1.000000,1.000000
Ks7s,525,525,1.000000,1.000000
Ks6s,525,525,1.000000,1.000000
Ks5s,525,525,1.000000,1.000000
Ks4s,525,525,1.000000,1.000000
Ks3s,525,525,1.000000,1.000000
Ks2s,525,525,1.000000,1.000000
KsAc,525,525,1.000000,1.000000
KsKc,525,525,1.000000,1.000000
KsQc,525,525,1.000000,1.000000
KsJc,525,525,1.000000,1.000000
KsTc,525,525,1.000000,1.000000
Ks9c,525,525,1.000000,1.000000
Ks8c,525,525,1.000000,1.000000
Ks7c,525,525,1.000000,1.000000
Ks6c,525,525,1.000000,1.000000
Ks5c,525,525,1.000000,1.000000
Ks4c,525,525,1.000000,1.000000
Ks3c,525,519,1.000000,0.988571
Ks2c,525,5,1.000000,0.009524
KsAd,525,525,1.000000,1.000000
KsKd,525,525,1.000000,1.000000
KsQd,525,525,1.000000,1.000000
KsJd,525,525,1.000000,1.000000
KsTd,525,525,1.000000,1.000000
Ks9d,525,525,1.000000,1.000000
Ks8d,525,525,1.000000,1.000000
Ks7d,525,525,1.000000,1.000000
Ks6d,525,525,1.000000,1.000000
Ks5d,525,525,1.000000,1.000000
Ks4d,525,525,1.000000,1.000000
Ks3d,525,519,1.000000,0.988571
Ks2d,525,5,1.000000,0.009524
KsAh,525,525,1.000000,1.000000
KsKh,525,525,1.000000,1.000000
KsQh,525,525,1.000000,1.000000
KsJh,525,525,1.000000,1.000000
KsTh,525,525,1.000000,1.000000
Ks9h,525,525,1.000000,1.000000
Ks8h,525,525,1.000000,1.000000
Ks7h,525,525,1.000000,1.000000
Ks6h,525,525,1.000000,1.000000
Ks5h,525,525,1.000000,1.000000
Ks4h,525,525,1.000000,1.000000
Ks3h,525,519,1.000000,0.988571
Ks2h,525,5,1.000000,0.009524
QsJs,525,525,1.000000,1.000000
QsTs,525,525,1.000000,1.000000
Qs9s,525,525,1.000000,1.000000
Qs8s,525,525,1.000000,1.000000
Qs7s,525,525,1.000000,1.000000
Qs6s,525,525,1.000000,1.000000
Qs5s,525,525,1.000000,1.000000
Qs4s,525,513,1.000000,0.977143
Qs3s,525,132,1.000000,0.251429
Qs2s,525,3,1.000000,0.005714
QsAc,525,525,1.000000,1.000000
QsKc,525,525,1.000000,1.000000
QsQc,525,525,1.000000,1.000000
QsJc,525,525,1.000000,1.000000
QsTc,525,525,1.000000,1.000000
Qs9c,525,525,1.000000,1.000000
Qs8c,525,511,1.000000,0.973333
