Program Duration,9.042658386666666,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,667.0,667.0,1.0,1.0
AsQs,667.0,667.0,1.0,1.0
AsJs,667.0,667.0,1.0,1.0
AsTs,667.0,667.0,1.0,1.0
As9s,667.0,667.0,1.0,1.0
As8s,667.0,667.0,1.0,1.0
As7s,667.0,667.0,1.0,1.0
As6s,667.0,667.0,1.0,1.0
As5s,667.0,667.0,1.0,1.0
As4s,667.0,667.0,1.0,1.0
As3s,667.0,667.0,1.0,1.0
As2s,667.0,667.0,1.0,1.0
AsAc,667.0,667.0,1.0,1.0
AsKc,667.0,667.0,1.0,1.0
AsQc,667.0,667.0,1.0,1.0
AsJc,667.0,667.0,1.0,1.0
AsTc,667.0,667.0,1.0,1.0
As9c,667.0,667.0,1.0,1.0
As8c,667.0,667.0,1.0,1.0
As7c,667.0,667.0,1.0,1.0
As6c,667.0,667.0,1.0,1.0
As5c,667.0,667.0,1.0,1.0
As4c,667.0,667.0,1.0,1.0
As3c,667.0,667.0,1.0,1.0
As2c,667.0,667.0,1.0,1.0
AsAd,667.0,667.0,1.0,1.0
AsKd,667.0,667.0,1.0,1.0
AsQd,667.0,667.0,1.0,1.0
AsJd,667.0,667.0,1.0,1.0
AsTd,667.0,667.0,1.0,1.0
As9d,667.0,667.0,1.0,1.0
As8d,667.0,667.0,1.0,1.0
As7d,667.0,667.0,1.0,1.0
As6d,667.0,667.0,1.0,1.0
As5d,667.0,667.0,1.0,1.0
As4d,667.0,667.0,1.0,1.0
As3d,667.0,667.0,1.0,1.0
As2d,667.0,667.0,1.0,1.0
AsAh,667.0,667.0,1.0,1.0
AsKh,667.0,667.0,1.0,1.0
AsQh,667.0,667.0,1.0,1.0
AsJh,667.0,667.0,1.0,1.0
AsTh,667.0,667.0,1.0,1.0
As9h,667.0,667.0,1.0,1.0
As8h,667.0,667.0,1.0,1.0
As7h,667.0,667.0,1.0,1.0
As6h,667.0,667.0,1.0,1.0
