Program Duration,0.7027944783333333

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,67.0,67.0,1.0,1.0
AsQs,67.0,67.0,1.0,1.0
AsJs,67.0,67.0,1.0,1.0
AsTs,67.0,67.0,1.0,1.0
As9s,67.0,67.0,1.0,1.0
As8s,67.0,67.0,1.0,1.0
As7s,67.0,67.0,1.0,1.0
As6s,67.0,67.0,1.0,1.0
As5s,67.0,67.0,1.0,1.0
As4s,67.0,67.0,1.0,1.0
As3s,67.0,67.0,1.0,1.0
As2s,67.0,67.0,1.0,1.0
AsAc,67.0,67.0,1.0,1.0
AsKc,67.0,67.0,1.0,1.0
AsQc,67.0,67.0,1.0,1.0
AsJc,67.0,67.0,1.0,1.0
AsTc,67.0,67.0,1.0,1.0
As9c,67.0,67.0,1.0,1.0
As8c,67.0,67.0,1.0,1.0
As7c,67.0,67.0,1.0,1.0
As6c,67.0,67.0,1.0,1.0
As5c,67.0,67.0,1.0,1.0
As4c,67.0,67.0,1.0,1.0
As3c,67.0,67.0,1.0,1.0
As2c,67.0,67.0,1.0,1.0
AsAd,67.0,67.0,1.0,1.0
AsKd,67.0,67.0,1.0,1.0
AsQd,67.0,67.0,1.0,1.0
AsJd,67.0,67.0,1.0,1.0
AsTd,67.0,67.0,1.0,1.0
As9d,67.0,67.0,1.0,1.0
As8d,67.0,67.0,1.0,1.0
As7d,67.0,67.0,1.0,1.0
As6d,67.0,67.0,1.0,1.0
As5d,67.0,67.0,1.0,1.0
As4d,67.0,67.0,1.0,1.0
As3d,67.0,67.0,1.0,1.0
As2d,67.0,67.0,1.0,1.0
AsAh,67.0,67.0,1.0,1.0
AsKh,67.0,67.0,1.0,1.0
AsQh,67.0,67.0,1.0,1.0
AsJh,67.0,67.0,1.0,1.0
AsTh,67.0,67.0,1.0,1.0
As9h,67.0,67.0,1.0,1.0
As8h,67.0,67.0,1.0,1.0
As7h,67.0,67.0,1.0,1.0
As6h,67.0,67.0,1.0,1.0
As5h,67.0,67.0,1.0,1.0
As4h,67.0,67.0,1.0,1.0
As3h,67.0,67.0,1.0,1.0
As2h,67.0,67.0,1.0,1.0
KsQs,67.0,67.0,1.0,1.0
KsJs,67.0,67.0,1.0,1.0
KsTs,67.0,67.0,1.0,1.0
Ks9s,67.0,67.0,1.0,1.0
Ks8s,67.0,67.0,1.0,1.0
Ks7s,67.0,67.0,1.0,1.0
Ks6s,67.0,67.0,1.0,1.0
Ks5s,67.0,67.0,1.0,1.0
Ks4s,67.0,67.0,1.0,1.0
Ks3s,67.0,67.0,1.0,1.0
Ks2s,67.0,67.0,1.0,1.0
KsAc,67.0,67.0,1.0,1.0
KsKc,67.0,67.0,1.0,1.0
KsQc,67.0,67.0,1.0,1.0
KsJc,67.0,67.0,1.0,1.0
KsTc,67.0,67.0,1.0,1.0
Ks9c,67.0,67.0,1.0,1.0
Ks8c,67.0,67.0,1.0,1.0
Ks7c,67.0,67.0,1.0,1.0
Ks6c,67.0,67.0,1.0,1.0
Ks5c,67.0,67.0,1.0,1.0
Ks4c,67.0,67.0,1.0,1.0
Ks3c,67.0,67.0,1.0,1.0
Ks2c,67.0,12.0,1.0,0.1791044776119403
KsAd,67.0,67.0,1.0,1.0
KsKd,67.0,67.0,1.0,1.0
KsQd,67.0,67.0,1.0,1.0
KsJd,67.0,67.0,1.0,1.0
KsTd,67.0,67.0,1.0,1.0
Ks9d,67.0,67.0,1.0,1.0
Ks8d,67.0,67.0,1.0,1.0
Ks7d,67.0,67.0,1.0,1.0
Ks6d,67.0,67.0,1.0,1.0
Ks5d,67.0,67.0,1.0,1.0
Ks4d,67.0,67.0,1.0,1.0
Ks3d,67.0,67.0,1.0,1.0
Ks2d,67.0,12.0,1.0,0.1791044776119403
KsAh,67.0,67.0,1.0,1.0
KsKh,67.0,67.0,1.0,1.0
KsQh,67.0,67.0,1.0,1.0
KsJh,67.0,67.0,1.0,1.0
KsTh,67.0,67.0,1.0,1.0
Ks9h,67.0,67.0,1.0,1.0
Ks8h,67.0,67.0,1.0,1.0
Ks7h,67.0,67.0,1.0,1.0
Ks6h,67.0,67.0,1.0,1.0
Ks5h,67.0,67.0,1.0,1.0
Ks4h,67.0,67.0,1.0,1.0
Ks3h,67.0,67.0,1.0,1.0
Ks2h,67.0,12.0,1.0,0.1791044776119403
QsJs,67.0,67.0,1.0,1.0
QsTs,67.0,67.0,1.0,1.0
Qs9s,67.0,67.0,1.0,1.0
Qs8s,67.0,67.0,1.0,1.0
Qs7s,67.0,67.0,1.0,1.0
Qs6s,67.0,67.0,1.0,1.0
Qs5s,67.0,67.0,1.0,1.0
