,P1 Freq,P2 Freq,P1 Strat,P2 Strat
AsKs,72,90,0.8,1
AsQs,72,90,0.8,1
AsJs,63,90,0.7,1
AsTs,55,90,0.611111111,1
As9s,36,90,0.4,1
As8s,31,77,0.344444444,0.855555556
As7s,27,63,0.3,0.7
As6s,22,53,0.244444444,0.588888889
As5s,24,59,0.266666667,0.655555556
As4s,21,53,0.233333333,0.588888889
As3s,18,48,0.2,0.533333333
As2s,16,44,0.177777778,0.488888889
AsAc,90,90,1,1
AsKc,90,90,1,1
AsQc,90,90,1,1
AsJc,58,90,0.644444444,1
AsTc,38,71,0.422222222,0.788888889
As9c,20,42,0.222222222,0.466666667
As8c,14,33,0.155555556,0.366666667
As7c,10,27,0.111111111,0.3
As6c,7,22,0.077777778,0.244444444
As5c,7,23,0.077777778,0.255555556
As4c,6,20,0.066666667,0.222222222
As3c,5,18,0.055555556,0.2
As2c,5,16,0.055555556,0.177777778
AsAd,90,90,1,1
AsKd,90,90,1,1
AsQd,90,90,1,1
AsJd,58,90,0.644444444,1
AsTd,38,71,0.422222222,0.788888889
As9d,20,42,0.222222222,0.466666667
As8d,14,33,0.155555556,0.366666667
As7d,10,27,0.111111111,0.3
As6d,7,22,0.077777778,0.244444444
As5d,7,23,0.077777778,0.255555556
As4d,6,20,0.066666667,0.222222222
As3d,5,18,0.055555556,0.2
As2d,5,16,0.055555556,0.177777778
AsAh,90,90,1,1
AsKh,90,90,1,1
AsQh,90,90,1,1
AsJh,58,90,0.644444444,1
AsTh,38,71,0.422222222,0.788888889
As9h,20,42,0.222222222,0.466666667
As8h,14,33,0.155555556,0.366666667
As7h,10,27,0.111111111,0.3
As6h,7,22,0.077777778,0.244444444
As5h,7,23,0.077777778,0.255555556
As4h,6,20,0.066666667,0.222222222
As3h,5,18,0.055555556,0.2
As2h,5,16,0.055555556,0.177777778
KsQs,8,90,0.088888889,1
KsJs,8,68,0.088888889,0.755555556
KsTs,8,48,0.088888889,0.533333333
Ks9s,6,25,0.066666667,0.277777778
Ks8s,5,16,0.055555556,0.177777778
Ks7s,5,15,0.055555556,0.166666667
Ks6s,4,13,0.044444444,0.144444444
Ks5s,4,11,0.044444444,0.122222222
Ks4s,4,9,0.044444444,0.1
Ks3s,3,8,0.033333333,0.088888889
Ks2s,3,7,0.033333333,0.077777778
KsAc,90,90,1,1
KsKc,90,90,1,1
KsQc,10,34,0.111111111,0.377777778
KsJc,8,25,0.088888889,0.277777778
KsTc,6,19,0.066666667,0.211111111
Ks9c,4,11,0.044444444,0.122222222
Ks8c,3,8,0.033333333,0.088888889
Ks7c,3,7,0.033333333,0.077777778
Ks6c,3,6,0.033333333,0.066666667
Ks5c,2,5,0.022222222,0.055555556
Ks4c,2,4,0.022222222,0.044444444
Ks3c,2,3,0.022222222,0.033333333
Ks2c,2,3,0.022222222,0.033333333
KsAd,90,90,1,1
KsKd,90,90,1,1
KsQd,10,34,0.111111111,0.377777778
KsJd,8,25,0.088888889,0.277777778
KsTd,6,19,0.066666667,0.211111111
Ks9d,4,11,0.044444444,0.122222222
Ks8d,3,8,0.033333333,0.088888889
Ks7d,3,7,0.033333333,0.077777778
Ks6d,3,6,0.033333333,0.066666667
Ks5d,2,5,0.022222222,0.055555556
Ks4d,2,4,0.022222222,0.044444444
Ks3d,2,3,0.022222222,0.033333333
Ks2d,2,3,0.022222222,0.033333333
KsAh,90,90,1,1
KsKh,90,90,1,1
KsQh,10,34,0.111111111,0.377777778
KsJh,8,25,0.088888889,0.277777778
KsTh,6,19,0.066666667,0.211111111
