Program Duration,117.15272203166667,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsQs,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsJs,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsTs,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As9s,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As8s,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As7s,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As6s,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As5s,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As4s,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As3s,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As2s,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsAc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsKc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsQc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsJc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsTc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As9c,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As8c,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As7c,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As6c,26478.0,26470.0,0.9999622342233468,0.9996601080101212
As5c,26478.0,26431.0,0.9999622342233468,0.9981872427206465
As4c,26478.0,17.0,0.9999622342233468,6.420182031043469E-4
As3c,26478.0,13.0,0.9999622342233468,4.909550964915594E-4
As2c,26478.0,10.0,0.9999622342233468,3.7765776653196875E-4
AsAd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsKd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsQd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsJd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsTd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As9d,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As8d,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As7d,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As6d,26478.0,26470.0,0.9999622342233468,0.9996601080101212
As5d,26478.0,26431.0,0.9999622342233468,0.9981872427206465
As4d,26478.0,17.0,0.9999622342233468,6.420182031043469E-4
As3d,26478.0,13.0,0.9999622342233468,4.909550964915594E-4
As2d,26478.0,10.0,0.9999622342233468,3.7765776653196875E-4
AsAh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsKh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsQh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsJh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
AsTh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As9h,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As8h,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As7h,26478.0,26478.0,0.9999622342233468,0.9999622342233468
As6h,26478.0,26470.0,0.9999622342233468,0.9996601080101212
As5h,26478.0,26431.0,0.9999622342233468,0.9981872427206465
As4h,26478.0,17.0,0.9999622342233468,6.420182031043469E-4
As3h,26478.0,13.0,0.9999622342233468,4.909550964915594E-4
As2h,26478.0,10.0,0.9999622342233468,3.7765776653196875E-4
KsQs,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsJs,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsTs,26478.0,26478.0,0.9999622342233468,0.9999622342233468
Ks9s,26478.0,26440.0,0.9999622342233468,0.9985271347105253
Ks8s,26478.0,11.0,0.9999622342233468,4.154235431851656E-4
Ks7s,26478.0,8.0,0.9999622342233468,3.02126213225575E-4
Ks6s,26478.0,7.0,0.9999622342233468,2.643604365723781E-4
Ks5s,26478.0,5.0,0.9999622342233468,1.8882888326598438E-4
Ks4s,26478.0,4.0,0.9999622342233468,1.510631066127875E-4
Ks3s,391.0,4.0,0.014766418671399977,1.510631066127875E-4
Ks2s,6.0,3.0,2.2659465991918125E-4,1.1329732995959063E-4
KsAc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsKc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsQc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsJc,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsTc,26478.0,26465.0,0.9999622342233468,0.9994712791268553
Ks9c,26478.0,10.0,0.9999622342233468,3.7765776653196875E-4
Ks8c,14.0,6.0,5.287208731447563E-4,2.2659465991918125E-4
Ks7c,8.0,4.0,3.02126213225575E-4,1.510631066127875E-4
Ks6c,6.0,3.0,2.2659465991918125E-4,1.1329732995959063E-4
Ks5c,4.0,3.0,1.510631066127875E-4,1.1329732995959063E-4
Ks4c,3.0,2.0,1.1329732995959063E-4,7.553155330639375E-5
Ks3c,3.0,2.0,1.1329732995959063E-4,7.553155330639375E-5
Ks2c,3.0,1.0,1.1329732995959063E-4,3.7765776653196875E-5
KsAd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsKd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsQd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsJd,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsTd,26478.0,26465.0,0.9999622342233468,0.9994712791268553
Ks9d,26478.0,10.0,0.9999622342233468,3.7765776653196875E-4
Ks8d,14.0,6.0,5.287208731447563E-4,2.2659465991918125E-4
Ks7d,8.0,4.0,3.02126213225575E-4,1.510631066127875E-4
Ks6d,6.0,3.0,2.2659465991918125E-4,1.1329732995959063E-4
Ks5d,4.0,3.0,1.510631066127875E-4,1.1329732995959063E-4
Ks4d,3.0,2.0,1.1329732995959063E-4,7.553155330639375E-5
Ks3d,3.0,2.0,1.1329732995959063E-4,7.553155330639375E-5
Ks2d,3.0,1.0,1.1329732995959063E-4,3.7765776653196875E-5
KsAh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsKh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsQh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsJh,26478.0,26478.0,0.9999622342233468,0.9999622342233468
KsTh,26478.0,26465.0,0.9999622342233468,0.9994712791268553
Ks9h,26478.0,10.0,0.9999622342233468,3.7765776653196875E-4
Ks8h,14.0,6.0,5.287208731447563E-4,2.2659465991918125E-4
Ks7h,8.0,4.0,3.02126213225575E-4,1.510631066127875E-4
Ks6h,6.0,3.0,2.2659465991918125E-4,1.1329732995959063E-4
